Classification,TotalTrades,AveragePnL,MedianPnL,TotalPnL,MaxPnL,MinPnL,AverageTradeSize,TotalTradeVolume,WinRate,UniqueTraders
Greed,36289,87.8948589207749,0.0,3189616.535376,44223.45187,-117990.1041,3182.883844966794,115503671.85,44.647138251260714,29
Fear,133871,50.047621894017375,0.0,6699925.190574,135329.0901,-35681.74723,5259.977836723413,704158492.98,41.51459240612231,32
Extreme Greed,6962,25.418772159436944,0.0,176965.491774,2500.9575,-21524.4,5660.265764148233,39406770.25,49.008905486929045,5
Neutral,7141,22.229712656210616,0.0,158742.378078,18282.19011,-18360.67007,3058.8481095084726,21843234.35,31.71824674415348,8
